field_id,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,crop_id
1,45.0,42.44444444444444,42.72222222222222,48.0,49.666666666666664,58.0,65.22222222222223,60.27777777777778,71.94444444444444,12.0,80.27777777777777,61.333333333333336,1
2,45.0,42.0,42.166666666666664,47.666666666666664,49.25,59.916666666666664,69.0,63.916666666666664,76.33333333333333,12.833333333333334,79.91666666666667,56.75,1
3,45.0,42.6875,43.5,49.1875,51.4375,62.875,71.625,66.625,79.3125,13.0,82.125,58.0625,1
4,45.86666666666667,42.46666666666667,43.8,47.733333333333334,49.46666666666667,59.733333333333334,68.13333333333334,62.6,73.46666666666667,11.266666666666667,77.6,55.0,2
5,46.0,43.23809523809524,45.23809523809524,49.285714285714285,50.904761904761905,60.904761904761905,68.95238095238095,63.38095238095238,74.54761904761905,11.333333333333334,77.45238095238095,55.80952380952381,2
6,45.0,42.833333333333336,44.94444444444444,49.111111111111114,50.55555555555556,60.333333333333336,68.88888888888889,62.888888888888886,74.66666666666667,12.0,78.77777777777777,57.22222222222222,2
7,46.0,43.7027027027027,46.08108108108108,50.891891891891895,51.972972972972975,61.83783783783784,69.62162162162163,63.945945945945944,75.32432432432432,11.945945945945946,80.37837837837837,59.432432432432435,2
8,44.904761904761905,42.57142857142857,44.476190476190474,49.0,50.666666666666664,63.142857142857146,72.47619047619048,66.57142857142857,78.95238095238095,12.0,81.95238095238095,59.76190476190476,2
9,44.84375,41.5625,42.71875,46.09375,47.875,58.53125,66.84375,60.75,72.84375,12.0,76.0,56.34375,2
10,43.421052631578945,38.578947368421055,37.473684210526315,36.89473684210526,41.1578947368421,59.05263157894737,68.57894736842105,65.15789473684211,76.05263157894737,12.105263157894736,66.84210526315789,45.0,1
12,44.65277777777778,41.90277777777778,43.09722222222222,45.52777777777778,47.763888888888886,60.833333333333336,69.94444444444444,64.59722222222223,76.04166666666667,12.0,75.27777777777777,52.56944444444444,3
14,43.0,38.714285714285715,37.904761904761905,38.714285714285715,44.0,61.285714285714285,72.61904761904762,68.14285714285714,80.14285714285714,13.0,72.42857142857143,46.38095238095238,1
15,44.0,41.2,40.4,42.5,44.8,58.45,67.75,63.5,75.1,12.0,73.8,50.2,2
16,45.5,41.94,41.68,44.16,46.9,59.9,68.48,63.16,75.32,12.0,77.08,55.1,1
17,45.0,41.15151515151515,40.696969696969695,42.54545454545455,45.666666666666664,59.54545454545455,68.36363636363636,63.515151515151516,75.21212121212122,12.0,74.66666666666667,51.121212121212125,1
18,44.18181818181818,39.42424242424242,38.42424242424242,36.75757575757576,38.515151515151516,44.21212121212121,49.93939393939394,44.515151515151516,49.696969696969695,8.121212121212121,35.72727272727273,23.09090909090909,1
20,43.578947368421055,40.578947368421055,41.73684210526316,41.26315789473684,44.36842105263158,63.26315789473684,73.15789473684211,67.73684210526316,78.6842105263158,12.0,66.78947368421052,42.73684210526316,4
22,45.4,41.6,42.333333333333336,44.233333333333334,47.9,63.56666666666667,72.76666666666667,67.7,79.83333333333333,11.733333333333333,77.4,52.766666666666666,1
23,47.0,44.666666666666664,47.166666666666664,52.833333333333336,55.166666666666664,67.0,76.16666666666667,70.16666666666667,83.5,13.0,95.0,72.66666666666667,4
24,47.0,44.5,47.0,53.166666666666664,55.0,66.33333333333333,75.83333333333333,70.16666666666667,82.83333333333333,12.666666666666666,95.16666666666667,72.66666666666667,4
27,46.0,42.75,43.25,46.25,48.0,62.5,72.5,65.5,79.5,12.0,82.0,58.5,2
28,46.07142857142857,42.42857142857143,43.5,46.07142857142857,48.714285714285715,64.71428571428571,75.57142857142857,68.71428571428571,82.5,12.0,83.14285714285714,59.357142857142854,3
30,45.42857142857143,42.38095238095238,43.476190476190474,46.38095238095238,49.0,64.28571428571429,74.61904761904762,68.47619047619048,81.57142857142857,12.0,82.0952380952381,57.285714285714285,1
31,43.97142857142857,42.142857142857146,42.6,48.114285714285714,49.6,58.91428571428571,66.74285714285715,62.82857142857143,73.51428571428572,12.085714285714285,80.6,61.457142857142856,1
32,45.42857142857143,43.714285714285715,46.32142857142857,51.785714285714285,53.785714285714285,63.857142857142854,72.14285714285714,67.0,78.96428571428571,13.0,84.5,61.714285714285715,4
33,44.0,39.30434782608695,38.91304347826087,38.21739130434783,42.30434782608695,61.130434782608695,71.82608695652173,66.56521739130434,78.82608695652173,12.0,68.26086956521739,43.17391304347826,2
34,45.333333333333336,43.266666666666666,45.2,50.233333333333334,51.666666666666664,62.766666666666666,71.66666666666667,66.36666666666666,78.36666666666666,12.0,84.56666666666666,62.266666666666666,3
35,44.426829268292686,41.41463414634146,42.19512195121951,44.52439024390244,47.15853658536585,61.30487804878049,70.45121951219512,65.45121951219512,77.08536585365853,11.804878048780488,76.47560975609755,53.21951219512195,1
36,45.0,41.73684210526316,41.89473684210526,44.63157894736842,47.68421052631579,62.05263157894737,71.36842105263158,66.36842105263158,78.36842105263158,12.842105263157896,81.84210526315789,57.78947368421053,2
37,45.0,41.0,40.46153846153846,42.23076923076923,45.53846153846154,60.53846153846154,69.3076923076923,64.6923076923077,75.6923076923077,12.23076923076923,78.46153846153847,55.53846153846154,2
38,45.30769230769231,40.76923076923077,41.17948717948718,41.46153846153846,45.8974358974359,60.56410256410256,70.0,64.38461538461539,76.87179487179488,12.0,75.05128205128206,49.333333333333336,2
40,45.3,41.43333333333333,41.733333333333334,42.833333333333336,46.0,61.833333333333336,71.46666666666667,66.03333333333333,78.6,12.0,77.3,54.56666666666667,2
41,46.111111111111114,44.0,46.333333333333336,51.111111111111114,52.833333333333336,63.888888888888886,72.44444444444444,66.72222222222223,79.0,12.0,86.11111111111111,62.5,1
42,45.8125,42.3125,43.0625,44.8125,47.4375,62.125,71.6875,65.5,78.1875,12.0,78.875,56.1875,6
43,46.774193548387096,44.193548387096776,46.064516129032256,51.25806451612903,52.45161290322581,62.74193548387097,71.35483870967742,66.0,78.29032258064517,11.806451612903226,87.29032258064517,64.70967741935483,1
45,42.71153846153846,38.86538461538461,38.76923076923077,38.82692307692308,43.53846153846154,60.78846153846154,70.75,65.82692307692308,77.0576923076923,12.865384615384615,69.90384615384616,45.76923076923077,1
46,43.0,40.90909090909091,41.68181818181818,48.04545454545455,50.63636363636363,62.90909090909091,72.54545454545455,68.81818181818181,81.36363636363636,13.0,83.04545454545455,56.31818181818182,1
47,45.0,42.5,43.0,46.9,49.1,58.6,67.2,60.8,73.4,11.5,81.2,58.9,1
49,43.32,40.76,41.16,45.4,47.52,62.32,72.72,68.0,80.16,13.0,75.52,51.84,1
50,45.0,41.63636363636363,42.09090909090909,47.09090909090909,50.54545454545455,60.81818181818182,69.81818181818181,65.27272727272727,77.0,13.181818181818182,81.81818181818181,57.09090909090909,4
51,45.0,42.5,43.6875,49.875,52.8125,63.875,72.9375,69.3125,81.25,13.8125,84.4375,60.0,4
53,43.911764705882355,42.205882352941174,42.94117647058823,49.088235294117645,51.26470588235294,62.61764705882353,71.70588235294117,67.38235294117646,79.20588235294117,13.235294117647058,79.6470588235294,56.029411764705884,1
54,45.0,40.55555555555556,40.44444444444444,43.111111111111114,45.77777777777778,57.44444444444444,64.88888888888889,60.44444444444444,71.33333333333333,13.0,73.22222222222223,52.77777777777778,4
55,45.0,41.6875,42.1875,45.8125,48.125,60.25,68.875,64.0625,74.9375,13.0,77.125,56.0625,4
56,42.833333333333336,38.833333333333336,37.583333333333336,39.5,42.166666666666664,53.833333333333336,61.333333333333336,56.5,68.16666666666667,12.0,65.5,44.166666666666664,1
57,44.041666666666664,40.979166666666664,40.708333333333336,42.208333333333336,45.020833333333336,60.833333333333336,70.95833333333333,65.9375,78.0,12.5625,74.16666666666667,50.416666666666664,1
58,43.333333333333336,38.568627450980394,38.0,35.549019607843135,40.72549019607843,64.58823529411765,76.56862745098039,70.84313725490196,83.6078431372549,12.509803921568627,65.50980392156863,39.294117647058826,1
59,44.457142857142856,40.17142857142857,39.82857142857143,39.142857142857146,43.51428571428571,62.628571428571426,73.28571428571429,67.88571428571429,80.57142857142857,12.0,68.2,44.25714285714286,2
60,44.0,41.61538461538461,42.84615384615385,46.23076923076923,47.69230769230769,60.0,69.15384615384616,64.23076923076923,76.76923076923077,12.0,78.84615384615384,56.15384615384615,1
61,44.3855421686747,40.433734939759034,40.626506024096386,41.7710843373494,44.74698795180723,59.06024096385542,67.75903614457832,63.1566265060241,74.13253012048193,11.0,72.44578313253012,47.8433734939759,4
66,44.0,40.75,41.6,43.9,46.1,58.55,67.6,62.05,73.4,12.0,72.15,50.95,2
70,46.41379310344828,43.41379310344828,44.741379310344826,48.5,50.775862068965516,63.241379310344826,72.24137931034483,66.98275862068965,79.67241379310344,12.0,85.25862068965517,60.58620689655172,4
71,47.0,44.19047619047619,45.74603174603175,51.01587301587302,53.03174603174603,63.523809523809526,72.65079365079364,67.14285714285714,79.82539682539682,12.0,89.2063492063492,64.17460317460318,4
72,46.016949152542374,42.47457627118644,42.86440677966102,45.610169491525426,48.57627118644068,62.16949152542373,71.57627118644068,65.98305084745763,78.88135593220339,12.0,81.23728813559322,56.25423728813559,4
73,42.96296296296296,38.666666666666664,38.2962962962963,38.370370370370374,41.96296296296296,57.55555555555556,66.81481481481481,61.7037037037037,73.62962962962963,11.925925925925926,70.44444444444444,47.25925925925926,4
74,44.0,40.25,40.25,40.75,45.0,60.875,70.5,65.5,77.125,11.0,69.375,48.625,4
75,43.0,40.0,39.705882352941174,41.23529411764706,43.588235294117645,56.88235294117647,65.58823529411765,61.05882352941177,72.3529411764706,11.0,72.47058823529412,54.05882352941177,4
76,44.0,39.888888888888886,40.55555555555556,42.22222222222222,44.44444444444444,58.111111111111114,67.44444444444444,62.55555555555556,74.22222222222223,11.0,72.0,51.55555555555556,4
77,43.25,40.375,40.9375,42.4375,45.0,58.75,67.8125,62.125,73.375,11.4375,71.875,52.625,4
78,42.285714285714285,39.57142857142857,39.57142857142857,41.0,44.0,57.785714285714285,66.42857142857143,61.857142857142854,73.28571428571429,12.0,71.21428571428571,50.07142857142857,4
